1541874144.386:54101623,18113:"/bin/bash",write,stdout,1
1541874144.386:54101625,18113:"/bin/bash",write,stdout,1
1541874144.386:54101628,18113:"/bin/bash",write,stdout,1
1541874144.386:54101630,18113:"/bin/bash",write,stdout,1
1541874144.386:54101633,18113:"/bin/bash",write,stdout,1
1541874144.386:54101635,18113:"/bin/bash",write,stdout,1
1541874144.390:54101645,18114:"/bin/sed",write,stdout,1
1541874144.390:54101649,18115:"/usr/bin/sort",write,stdout,1
1541874144.390:54101653,18116:"/bin/sed",write,stdout,1
1541874144.394:54101687,18119:"/usr/bin/basename",write,stdout,1
1541874144.394:54101695,18121:"/usr/bin/dirname",write,stdout,1
1541874144.394:54101699,18120:"/bin/dash",write,stdout,1
1541874144.394:54101703,18118:"/bin/dash",write,stdout,1
1541874144.394:54101705,18118:"/bin/dash",write,stdout,1
1541874144.398:54101716,18123:"/usr/bin/dircolors",write,stdout,1
1541874144.418:54101750,18125:"/bin/ls",write,stdout,1
1541874144.422:54101762,18109:"/bin/bash",write,stdout,1
1541874144.426:54101773,18109:"/bin/bash",write,stdout,1
1541874144.426:54101775,18109:"/bin/bash",write,stdout,1
1541874144.426:54101777,18109:"/bin/bash",write,stdout,1
1541874144.426:54101779,18109:"/bin/bash",write,stdout,1
1541874144.426:54101781,18109:"/bin/bash",write,stdout,1
1541874144.426:54101783,18109:"/bin/bash",write,stderr,2
1541874144.426:54101785,18109:"/bin/bash",write,stdout,1
1541874144.426:54101787,18109:"/bin/bash",write,stdout,1
1541874144.426:54101789,18109:"/bin/bash",write,stdout,1
1541874144.426:54101791,18109:"/bin/bash",write,stdout,1
1541874144.426:54101793,18109:"/bin/bash",write,stdout,1
1541874144.430:54101795,18109:"/bin/bash",write,stdout,1
1541874144.430:54101797,18109:"/bin/bash",write,stdout,1
1541874144.430:54101801,18109:"/bin/bash",write,stderr,2
1541874144.434:54101839,18127:"/bin/bash",write,stdout,1
1541874144.434:54101841,18127:"/bin/bash",write,stdout,1
1541874144.434:54101844,18127:"/bin/bash",write,stdout,1
1541874144.434:54101846,18127:"/bin/bash",write,stdout,1
1541874144.434:54101848,18127:"/bin/bash",write,stdout,1
1541874144.434:54101851,18127:"/bin/bash",write,stdout,1
1541874144.434:54101856,18128:"/bin/sed",write,stdout,1
1541874144.438:54101866,18129:"/usr/bin/sort",write,stdout,1
1541874144.438:54101870,18130:"/bin/sed",write,stdout,1
1541874144.454:54101888,18109:"/bin/bash",write,stderr,2
1541874145.689:54101894,18109:"/bin/bash",write,stderr,2
1541874145.837:54101900,18109:"/bin/bash",write,stderr,2
1541874145.969:54101906,18109:"/bin/bash",write,stderr,2
1541874145.973:54101926,18131:"/bin/ls",write,stdout,1
1541874145.973:54101930,18109:"/bin/bash",write,stderr,2
1541874146.573:54101936,18109:"/bin/bash",write,stderr,2
1541874146.637:54101942,18109:"/bin/bash",write,stderr,2
1541874146.657:54101948,18109:"/bin/bash",write,stderr,2
1541874146.825:54101954,18109:"/bin/bash",write,stderr,2
1541874147.1:54101960,18109:"/bin/bash",write,stderr,2
1541874147.85:54101969,18109:"/bin/bash",write,stdout,1
1541874147.85:54101971,18109:"/bin/bash",write,stdout,1
1541874147.89:54101973,18132:"/bin/bash",write,stdout,1
1541874147.89:54101978,18109:"/bin/bash",write,0x1d00001,"/tmp/"
1541874147.89:54101979,18109:"/bin/bash",write,0x1d00001,"/tmp/"
1541874147.89:54101984,18109:"/bin/bash",write,stderr,2
1541874147.245:54101990,18109:"/bin/bash",write,stderr,2
1541874147.245:54101993,18109:"/bin/bash",write,stderr,2
1541874147.477:54101999,18109:"/bin/bash",write,stderr,2
1541874147.569:54102005,18109:"/bin/bash",write,stderr,2
1541874147.641:54102011,18109:"/bin/bash",write,stderr,2
1541874147.645:54102031,18133:"/bin/ls",write,stdout,1
1541874147.645:54102035,18109:"/bin/bash",write,stderr,2
1541874149.133:54102041,18109:"/bin/bash",write,stderr,2
1541874149.221:54102047,18109:"/bin/bash",write,stderr,2
1541874149.297:54102053,18109:"/bin/bash",write,stderr,2
1541874149.541:54102059,18109:"/bin/bash",write,stderr,2
1541874149.733:54102065,18109:"/bin/bash",write,stderr,2
1541874149.853:54102074,18109:"/bin/bash",write,stdout,1
1541874149.853:54102076,18109:"/bin/bash",write,stdout,1
1541874149.857:54102078,18134:"/bin/bash",write,stdout,1
1541874149.857:54102083,18109:"/bin/bash",write,0x1d00001,"/tmp/"
1541874149.857:54102084,18109:"/bin/bash",write,0x1d00001,"/tmp/"
1541874149.857:54102089,18109:"/bin/bash",write,stderr,2
1541874150.673:54102095,18109:"/bin/bash",write,stderr,2
1541874150.677:54102098,18109:"/bin/bash",write,stderr,2
1541874150.877:54102104,18109:"/bin/bash",write,stderr,2
1541874150.961:54102110,18109:"/bin/bash",write,stderr,2
1541874151.61:54102116,18109:"/bin/bash",write,stderr,2
1541874151.61:54102136,18135:"/bin/ls",write,stdout,1
1541874151.61:54102140,18109:"/bin/bash",write,stderr,2
1541874152.381:54102146,18109:"/bin/bash",write,stderr,2
1541874153.501:54102164,18109:"/bin/bash",write,stderr,2
1541874153.913:54102170,18109:"/bin/bash",write,stderr,2
1541874152.521:54102152,18109:"/bin/bash",write,stderr,2
1541874152.677:54102158,18109:"/bin/bash",write,stderr,2
1541874154.89:54102176,18109:"/bin/bash",write,stderr,2
1541874154.381:54102185,18109:"/bin/bash",write,stdout,1
1541874154.381:54102187,18109:"/bin/bash",write,stdout,1
1541874154.385:54102189,18136:"/bin/bash",write,stdout,1
1541874154.385:54102194,18109:"/bin/bash",write,0x1d00001,"/tmp/"
1541874154.385:54102195,18109:"/bin/bash",write,0x1d00001,"/tmp/"
1541874154.385:54102200,18109:"/bin/bash",write,stderr,2
1541874154.577:54102206,18109:"/bin/bash",write,stderr,2
1541874154.581:54102209,18109:"/bin/bash",write,stderr,2
1541874154.717:54102215,18109:"/bin/bash",write,stderr,2
1541874154.829:54102221,18109:"/bin/bash",write,stderr,2
1541874154.881:54102229,18109:"/bin/bash",write,stderr,2
1541874154.885:54102247,18137:"/bin/ls",write,stdout,1
1541874154.885:54102249,18137:"/bin/ls",write,stdout,1
1541874154.885:54102251,18137:"/bin/ls",write,stdout,1
1541874154.885:54102253,18137:"/bin/ls",write,stdout,1
1541874154.885:54102255,18137:"/bin/ls",write,stdout,1
1541874154.885:54102258,18137:"/bin/ls",write,stdout,1
1541874154.889:54102264,18109:"/bin/bash",write,stderr,2
1541874156.485:54102270,18109:"/bin/bash",write,stderr,2
1541874156.533:54102276,18109:"/bin/bash",write,stderr,2
1541874156.693:54102282,18109:"/bin/bash",write,stderr,2
1541874156.781:54102288,18109:"/bin/bash",write,stderr,2
1541874156.925:54102294,18109:"/bin/bash",write,stderr,2
1541874157.105:54102300,18109:"/bin/bash",write,stderr,2
1541874157.285:54102306,18109:"/bin/bash",write,stderr,2
1541874157.285:54102309,18109:"/bin/bash",write,stderr,2
1541874157.477:54102315,18109:"/bin/bash",write,stderr,2
1541874157.597:54102321,18109:"/bin/bash",write,stderr,2
1541874157.705:54102327,18109:"/bin/bash",write,stderr,2
1541874157.709:54102347,18138:"/bin/ls",write,stdout,1
1541874157.709:54102351,18109:"/bin/bash",write,stderr,2
1541874158.61:54102357,18109:"/bin/bash",write,stderr,2
1541874158.149:54102363,18109:"/bin/bash",write,stderr,2
