1541874127.198:54101066,"17856:""/bin/bash""",write,stderr,2,"(1541874127.0, 198.0, 54101066.0)","(1541874127.0, 198.0, 54101066.0)"
1541874127.282:54101074,"17856:""/bin/bash""",write,stderr,2,"(1541874127.0, 282.0, 54101074.0)","(1541874127.0, 282.0, 54101074.0)"
1541874127.366:54101082,"17856:""/bin/bash""",write,stderr,2,"(1541874127.0, 366.0, 54101082.0)","(1541874127.0, 366.0, 54101082.0)"
1541874127.450:54101090,"17856:""/bin/bash""",write,stderr,2,"(1541874127.0, 450.0, 54101090.0)","(1541874127.0, 450.0, 54101090.0)"
1541874127.534:54101098,"17856:""/bin/bash""",write,stderr,2,"(1541874127.0, 534.0, 54101098.0)","(1541874127.0, 534.0, 54101098.0)"
1541874127.614:54101106,"17856:""/bin/bash""",write,stderr,2,"(1541874127.0, 614.0, 54101106.0)","(1541874127.0, 614.0, 54101106.0)"
1541874127.702:54101114,"17856:""/bin/bash""",write,stderr,2,"(1541874127.0, 702.0, 54101114.0)","(1541874127.0, 702.0, 54101114.0)"
1541874127.802:54101122,"17856:""/bin/bash""",write,stderr,2,"(1541874127.0, 802.0, 54101122.0)","(1541874127.0, 802.0, 54101122.0)"
1541874127.866:54101130,"17856:""/bin/bash""",write,stderr,2,"(1541874127.0, 866.0, 54101130.0)","(1541874127.0, 866.0, 54101130.0)"
1541874127.970:54101138,"17856:""/bin/bash""",write,stderr,2,"(1541874127.0, 970.0, 54101138.0)","(1541874127.0, 970.0, 54101138.0)"
1541874128.34:54101146,"17856:""/bin/bash""",write,stderr,2,"(1541874128.0, 34.0, 54101146.0)","(1541874128.0, 34.0, 54101146.0)"
1541874128.138:54101154,"17856:""/bin/bash""",write,stderr,2,"(1541874128.0, 138.0, 54101154.0)","(1541874128.0, 138.0, 54101154.0)"
1541874128.202:54101162,"17856:""/bin/bash""",write,stderr,2,"(1541874128.0, 202.0, 54101162.0)","(1541874128.0, 202.0, 54101162.0)"
1541874128.374:54101168,"17856:""/bin/bash""",write,stderr,2,"(1541874128.0, 374.0, 54101168.0)","(1541874128.0, 374.0, 54101168.0)"
1541874128.470:54101174,"17856:""/bin/bash""",write,stderr,2,"(1541874128.0, 470.0, 54101174.0)","(1541874128.0, 470.0, 54101174.0)"
1541874128.558:54101180,"17856:""/bin/bash""",write,stderr,2,"(1541874128.0, 558.0, 54101180.0)","(1541874128.0, 558.0, 54101180.0)"
1541874128.654:54101186,"17856:""/bin/bash""",write,stderr,2,"(1541874128.0, 654.0, 54101186.0)","(1541874128.0, 654.0, 54101186.0)"
1541874128.778:54101192,"17856:""/bin/bash""",write,stderr,2,"(1541874128.0, 778.0, 54101192.0)","(1541874128.0, 778.0, 54101192.0)"
1541874128.946:54101198,"17856:""/bin/bash""",write,stderr,2,"(1541874128.0, 946.0, 54101198.0)","(1541874128.0, 966.0, 54101368.0)"
1541874130.954:54101375,"17856:""/bin/bash""",write,stderr,2,"(1541874130.0, 954.0, 54101375.0)","(1541874130.0, 954.0, 54101375.0)"
1541874131.62:54101381,"17856:""/bin/bash""",write,stderr,2,"(1541874131.0, 62.0, 54101381.0)","(1541874131.0, 62.0, 54101381.0)"
1541874132.966:54101387,"17856:""/bin/bash""",write,stderr,2,"(1541874132.0, 966.0, 54101387.0)","(1541874132.0, 970.0, 54101414.0)"
